,Location,Date,Time,Total: Location 1,Total: Location 2
1,08th / Bannock,9/14/2010,PM,133,134
2,08th / Fort,9/15/2010,PM,72,60
3,08th / Greenbelt,9/14/2010,PM,64,206
5,08th / River,9/15/2010,PM,214,38
6,10th / Bannock,9/15/2010,PM,68,107
7,13th / Fort,9/14/2010,PM,52,53
8,15th / State,9/15/2010,PM,66,27
9,16th / State,9/15/2010,PM,68,61
10,26th / Ellis,9/14/2010,PM,15,36
11,27th / State,9/14/2010,PM,22,13
12,36th / Hill,9/15/2010,PM,16,58
13,Amity / Holcomb,9/15/2010,PM,12,8
14,Boise / Apple,9/16/2010,PM,36,25
15,Boise / Protest,9/15/2010,PM,43,62
16,Cassia / Curtis,9/14/2010,PM,26,19
17,Cloverdale / McMillan,9/15/2010,PM,21,35
18,Collister / Catalpa,9/16/2010,PM,26,17
19,Emerald / Americana / Latah,9/14/2010,PM,97,33
20,Emerald / Roosevelt,9/14/2010,PM,29,41
21,Federal Way / Bergeson,9/14/2010,PM,8,43
22,Five Mile / McMillan,9/14/2010,PM,16,36
23,Franklin / Meridian,9/15/2010,PM,5,4
24,Kootenai / Latah,9/16/2010,PM,22,22
25,Rose Hill / Roosevelt,9/16/2010,PM,36,18
26,Vista / Overland,9/15/2010,PM,28,14
27,VMP / Chinden,9/15/2010,PM,54,23
0,03rd / Myrtle,9/14/2011,PM,110,41
1,08th / Bannock,9/15/2011,AM,44,71
2,08th / Greenbelt S,9/13/2011,PM,61,285
3,08th / River,9/13/2011,PM,203,46
4,28th / Sunset,9/14/2011,AM,9,14
5,36th / Greenbelt,9/13/2011,AM,40,28
6,Americana / Greenbelt N,9/14/2011,AM,89,238
7,Broadway / Warm Springs,9/13/2011,AM,19,39
8,Chinden / Garrett,9/15/2011,PM,53,8
9,Cloverdale / McMillan,9/14/2011,AM,54,46
10,Collister / Catalpa,9/15/2011,PM,32,27
11,Emerald / Phillippi,9/13/2011,AM,30,38
12,Five Mile / McMillan,9/13/2011,AM,48,28
13,Garden / Irving,9/13/2011,PM,33,24
14,Hill / Horseshoe Bend,9/13/2011,AM,8,12
15,Linder / Pine,9/15/2011,PM,5,4
16,Ustick / Milwaukee,9/13/2011,PM,28,51
17,VMP / Chinden,9/14/2011,PM,53,39
18,VMP / Greenbelt N,9/14/2011,PM,65,173
0,08th / Bannock,5/16/2012,AM,56,92
1,08th / Franklin,5/17/2012,AM,28,33
2,08th / River,5/16/2012,AM,93,22
3,10th /Bannock,5/16/2012,PM,60,125
4,10th / Franklin,5/15/2012,AM,32,81
5,10th / Franklin,5/15/2012,PM,72,72
6,15th / Franklin,5/16/2012,AM,22,44
7,15th / Grove,5/17/2012,PM,49,45
8,16th / Grove,5/17/2012,PM,58,29
9,23rd / Ellis,5/16/2012,PM,17,65
10,36th / Hill / Catalpa,5/16/2012,PM,0,0
11,43rd / Ustick,5/16/2012,PM,10,24
12,50th / Alworth,5/17/2012,AM,2,13
13,Beacon / Parkcenter,5/15/2012,AM,35,13
14,Beacon / Parkcenter,5/15/2012,PM,92,42
15,Beacon / Parkcenter,5/16/2012,AM,44,20
16,Beacon / Parkcenter,5/17/2012,AM,37,16
17,Chinden / Garrett,5/15/2012,PM,52,26
18,Collister / Catalpa,5/15/2012,PM,39,17
19,Emerald / Americana / Latah,5/16/2012,PM,107,48
20,Emerald / Milwaukee,5/15/2012,PM,12,64
21,Five Mile / McMillan,5/16/2012,AM,19,36
22,Glenwod / Marigold,5/15/2012,PM,41,99
23,Hill / Castle,5/17/2012,PM,23,30
24,Hill / Gary,5/15/2012,PM,46,26
25,Pine / Ten Mile,5/15/2012,PM,14,4
26,Pleasanton / N Greenbelt,5/16/2012,PM,285,55
27,Remington Bridge / N Greenbelt,5/17/2012,AM,21,25
28,Ustick / Curtis,5/16/2012,PM,47,2
29,Ustick / Mitchell,5/15/2012,PM,21,31
0,05th / Idaho,9/13/2012,AM,13,15
1,06th / O'Farrell,9/13/2012,PM,45,17
2,06th / Union,9/11/2012,PM,83,44
3,06th / Union,9/12/2012,AM,23,23
4,06th / Union,9/15/2012,PM,110,27
5,08th / Bannock,9/11/2012,AM,67,111
8,08th / Main,9/11/2012,PM,254,85
9,08th / Main,9/12/2012,PM,243,100
10,08th / River,9/11/2012,AM,131,15
11,08th / S Greenbelt,9/13/2012,AM,88,227
12,13th / Fort,9/19/2012,PM,81,48
