,Location,Date,Time,Total
0,08th / Bannock,2010-09-16,AM,131.0
1,08th / Bannock,2010-09-14,PM,267.0
2,08th / Fort,2010-09-15,PM,132.0
3,08th / Greenbelt,2010-09-14,PM,270.0
4,08th / River,2010-09-15,AM,114.0
5,08th / River,2010-09-15,PM,252.0
6,10th / Bannock,2010-09-15,PM,175.0
7,13th / Fort,2010-09-14,PM,105.0
8,15th / State,2010-09-15,PM,93.0
9,16th / State,2010-09-15,PM,129.0
10,26th / Ellis,2010-09-14,PM,51.0
11,27th / State,2010-09-14,PM,35.0
12,36th / Hill,2010-09-15,PM,74.0
13,Amity / Holcomb,2010-09-15,PM,20.0
14,Boise / Apple,2010-09-16,PM,61.0
15,Boise / Protest,2010-09-15,PM,105.0
16,Cassia / Curtis,2010-09-14,PM,45.0
17,Cloverdale / McMillan,2010-09-15,PM,56.0
18,Collister / Catalpa,2010-09-16,PM,43.0
19,Emerald / Americana / Latah,2010-09-14,PM,130.0
20,Emerald / Roosevelt,2010-09-14,PM,70.0
21,Federal Way / Bergeson,2010-09-14,PM,51.0
22,Five Mile / McMillan,2010-09-14,PM,52.0
23,Franklin / Meridian,2010-09-15,PM,9.0
24,Kootenai / Latah,2010-09-16,PM,44.0
25,Rose Hill / Roosevelt,2010-09-16,PM,54.0
26,Vista / Overland,2010-09-15,PM,42.0
27,VMP / Chinden,2010-09-15,PM,77.0
0,03rd / Myrtle,2011-09-14,PM,151.0
1,08th / Bannock,2011-09-15,AM,115.0
2,08th / Greenbelt S,2011-09-13,PM,346.0
3,08th / River,2011-09-13,PM,249.0
4,28th / Sunset,2011-09-14,AM,23.0
5,36th / Greenbelt,2011-09-13,AM,68.0
6,Americana / Greenbelt N,2011-09-14,AM,327.0
7,Broadway / Warm Springs,2011-09-13,AM,58.0
8,Chinden / Garrett,2011-09-15,PM,61.0
9,Cloverdale / McMillan,2011-09-14,AM,100.0
10,Collister / Catalpa,2011-09-15,PM,59.0
11,Emerald / Phillippi,2011-09-13,AM,68.0
12,Five Mile / McMillan,2011-09-13,AM,76.0
13,Garden / Irving,2011-09-13,PM,57.0
14,Hill / Horseshoe Bend,2011-09-13,AM,20.0
15,Linder / Pine,2011-09-15,PM,9.0
16,Ustick / Milwaukee,2011-09-13,PM,79.0
17,VMP / Chinden,2011-09-14,PM,92.0
18,VMP / Greenbelt N,2011-09-14,PM,238.0
0,08th / Bannock,2012-05-16,AM,148.0
1,08th / Franklin,2012-05-17,AM,61.0
2,08th / River,2012-05-16,AM,115.0
3,10th /Bannock,2012-05-16,PM,185.0
4,10th / Franklin,2012-05-15,AM,113.0
5,10th / Franklin,2012-05-15,PM,144.0
6,15th / Franklin,2012-05-16,AM,66.0
7,15th / Grove,2012-05-17,PM,94.0
8,16th / Grove,2012-05-17,PM,87.0
9,23rd / Ellis,2012-05-16,PM,82.0
10,36th / Hill / Catalpa,2012-05-16,PM,115.0
11,43rd / Ustick,2012-05-16,PM,34.0
12,50th / Alworth,2012-05-17,AM,15.0
13,Beacon / Parkcenter,2012-05-15,AM,48.0
14,Beacon / Parkcenter,2012-05-15,PM,134.0
15,Beacon / Parkcenter,2012-05-16,AM,64.0
16,Beacon / Parkcenter,2012-05-17,AM,53.0
17,Chinden / Garrett,2012-05-15,PM,78.0
18,Collister / Catalpa,2012-05-15,PM,56.0
19,Emerald / Americana / Latah,2012-05-16,PM,155.0
