Location,Date,Time,Total
08th / Bannock,2010-09-16,AM,131.0
08th / Bannock,2010-09-14,PM,267.0
08th / Fort,2010-09-15,PM,132.0
08th / Greenbelt,2010-09-14,PM,270.0
08th / River,2010-09-15,AM,114.0
08th / River,2010-09-15,PM,252.0
10th / Bannock,2010-09-15,PM,175.0
13th / Fort,2010-09-14,PM,105.0
15th / State,2010-09-15,PM,93.0
16th / State,2010-09-15,PM,129.0
26th / Ellis,2010-09-14,PM,51.0
27th / State,2010-09-14,PM,35.0
36th / Hill,2010-09-15,PM,74.0
Amity / Holcomb,2010-09-15,PM,20.0
Boise / Apple,2010-09-16,PM,61.0
Boise / Protest,2010-09-15,PM,105.0
Cassia / Curtis,2010-09-14,PM,45.0
Cloverdale / McMillan,2010-09-15,PM,56.0
Collister / Catalpa,2010-09-16,PM,43.0
Emerald / Americana / Latah,2010-09-14,PM,130.0
Emerald / Roosevelt,2010-09-14,PM,70.0
Federal Way / Bergeson,2010-09-14,PM,51.0
Five Mile / McMillan,2010-09-14,PM,52.0
Franklin / Meridian,2010-09-15,PM,9.0
Kootenai / Latah,2010-09-16,PM,44.0
Rose Hill / Roosevelt,2010-09-16,PM,54.0
Vista / Overland,2010-09-15,PM,42.0
VMP / Chinden,2010-09-15,PM,77.0
03rd / Myrtle,2011-09-14,PM,151.0
08th / Bannock,2011-09-15,AM,115.0
08th / Greenbelt S,2011-09-13,PM,346.0
08th / River,2011-09-13,PM,249.0
28th / Sunset,2011-09-14,AM,23.0
36th / Greenbelt,2011-09-13,AM,68.0
Americana / Greenbelt N,2011-09-14,AM,327.0
Broadway / Warm Springs,2011-09-13,AM,58.0
Chinden / Garrett,2011-09-15,PM,61.0
Cloverdale / McMillan,2011-09-14,AM,100.0
Collister / Catalpa,2011-09-15,PM,59.0
Emerald / Phillippi,2011-09-13,AM,68.0
Five Mile / McMillan,2011-09-13,AM,76.0
Garden / Irving,2011-09-13,PM,57.0
Hill / Horseshoe Bend,2011-09-13,AM,20.0
Linder / Pine,2011-09-15,PM,9.0
Ustick / Milwaukee,2011-09-13,PM,79.0
VMP / Chinden,2011-09-14,PM,92.0
VMP / Greenbelt N,2011-09-14,PM,238.0
08th / Bannock,2012-05-16,AM,148.0
08th / Franklin,2012-05-17,AM,61.0
08th / River,2012-05-16,AM,115.0
10th /Bannock,2012-05-16,PM,185.0
10th / Franklin,2012-05-15,AM,113.0
10th / Franklin,2012-05-15,PM,144.0
15th / Franklin,2012-05-16,AM,66.0
15th / Grove,2012-05-17,PM,94.0
16th / Grove,2012-05-17,PM,87.0
23rd / Ellis,2012-05-16,PM,82.0
36th / Hill / Catalpa,2012-05-16,PM,115.0
43rd / Ustick,2012-05-16,PM,34.0
50th / Alworth,2012-05-17,AM,15.0
Beacon / Parkcenter,2012-05-15,AM,48.0
Beacon / Parkcenter,2012-05-15,PM,134.0
Beacon / Parkcenter,2012-05-16,AM,64.0
Beacon / Parkcenter,2012-05-17,AM,53.0
Chinden / Garrett,2012-05-15,PM,78.0
Collister / Catalpa,2012-05-15,PM,56.0
Emerald / Americana / Latah,2012-05-16,PM,155.0
Emerald / Milwaukee,2012-05-15,PM,76.0
Five Mile / McMillan,2012-05-16,AM,55.0
Glenwod / Marigold,2012-05-15,PM,140.0
Hill / Castle,2012-05-17,PM,53.0
Hill / Gary,2012-05-15,PM,72.0
Pine / Ten Mile,2012-05-15,PM,18.0
Pleasanton / N Greenbelt,2012-05-16,PM,340.0
Remington Bridge / N Greenbelt,2012-05-17,AM,46.0
Ustick / Curtis,2012-05-16,PM,49.0
