Location,Date,Time,Total
03rd / Myrtle,2011-09-14,PM,151.0
08th / Bannock,2011-09-15,AM,115.0
08th / Greenbelt S,2011-09-13,PM,346.0
08th / River,2011-09-13,PM,249.0
28th / Sunset,2011-09-14,AM,23.0
36th / Greenbelt,2011-09-13,AM,68.0
Americana / Greenbelt N,2011-09-14,AM,327.0
Broadway / Warm Springs,2011-09-13,AM,58.0
Chinden / Garrett,2011-09-15,PM,61.0
Cloverdale / McMillan,2011-09-14,AM,100.0
Collister / Catalpa,2011-09-15,PM,59.0
Emerald / Phillippi,2011-09-13,AM,68.0
Five Mile / McMillan,2011-09-13,AM,76.0
Garden / Irving,2011-09-13,PM,57.0
Hill / Horseshoe Bend,2011-09-13,AM,20.0
Linder / Pine,2011-09-15,PM,9.0
Ustick / Milwaukee,2011-09-13,PM,79.0
VMP / Chinden,2011-09-14,PM,92.0
VMP / Greenbelt N,2011-09-14,PM,238.0
