Location,Date,Time,Total
03rd / Myrtle,2013-05-07,AM,59.0
08th / Bannock,2013-05-09,AM,149.0
08th / Fort,2013-05-09,PM,143.0
08th / N Greenbelt,2013-05-07,AM,200.0
08th / River,2013-05-08,AM,123.0
08th / S Greenbelt,2013-05-07,AM,146.0
13th / Fort,2013-05-08,AM,80.0
15th / Bannock,2013-05-07,PM,104.0
15th / Fort,2013-05-08,AM,56.0
15th / Franklin,2013-05-08,AM,81.0
16th / Grove,2013-05-07,AM,59.0
16th / Grove,2013-05-09,PM,42.0
23rd / Ellis,2013-05-07,AM,64.0
27th / Pleasanton,2013-05-09,PM,53.0
27th / State,2013-05-07,PM,42.0
36th / Hill / Catalpa,2013-05-09,PM,90.0
Beacon / Parkcenter,2013-05-09,AM,31.0
Boise / Apple,2013-05-07,PM,42.0
Boise / Protest,2013-05-07,AM,136.0
Broadway / N Greenbelt,2013-05-08,AM,119.0
Broadway / N Greenbelt,2013-05-08,PM,195.0
Broadway / Warm Springs,2013-05-09,AM,47.0
Chinden / Garrett,2013-05-08,PM,47.0
Eagle / Greenbelt,2013-05-07,PM,6.0
Emerald / Americana / Latah,2013-05-09,PM,116.0
Emerald / Five Mile,2013-05-09,PM,47.0
Emerald / Roosevelt,2013-05-07,AM,46.0
Federal Way / Gowen,2013-05-07,AM,19.0
Federal Way / Kootenai,2013-05-07,PM,53.0
Friendship Bridge / Greenbelt N,2013-05-09,AM,242.0
Friendship Bridge / Greenbelt S,2013-05-07,PM,406.0
Garden / Emerald,2013-05-09,AM,27.0
Glenwood / Marigold,2013-05-07,AM,72.0
Hill / Bogus Basin,2013-05-08,PM,95.0
Hill / Castle,2013-05-07,PM,33.0
Hill / Collister,2013-05-07,PM,58.0
Hill / Gary,2013-05-07,AM,19.0
Hill / Gary,2013-05-07,PM,27.0
Hill / Gary,2013-05-09,AM,17.0
Hill / Gary,2013-05-09,PM,72.0
Hill / Horseshoe Bend,2013-05-07,PM,25.0
Kootenai / Latah,2013-05-07,PM,51.0
Kootenai / Latah,2013-05-08,PM,42.0
Leadville / Highland,2013-05-07,AM,18.0
Leadville / Highland,2013-05-08,AM,26.0
Linder / Pine,2013-05-08,AM,17.0
Locust Grove / Overland,2013-05-07,AM,10.0
Locust Grove / Overland,2013-05-07,PM,11.0
Maple Grove / Victory,2013-05-08,AM,48.0
Maple Grove / Victory,2013-05-09,AM,48.0
Milwaukee / Northview,2013-05-09,AM,54.0
Milwaukee / Northview,2013-05-09,PM,42.0
Parkcenter / Bown,2013-05-09,AM,117.0
Remington Bridge / Greenbelt,2013-05-09,AM,67.0
Ustick / Mitchell,2013-05-07,PM,25.0
Victory / Orchard,2013-05-07,PM,15.0
VMP / Chinden,2013-05-07,AM,45.0
VMP / Chinden,2013-05-09,PM,59.0
VMP / State,2013-05-07,AM,69.0
VMP / State,2013-05-07,PM,130.0
Warm Springs / Walnut,2013-05-09,PM,115.0
