Street_name,Location,2010,2011,2012-May,2012-September,2013-May,2013-September,2014-May,2014-September,2015-May,2019-May,Total,Average
Bannock,03rd / Bannock,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,52,52.0
Myrtle,03rd / Myrtle,0.0,151.0,0.0,0.0,59.0,150.0,95.0,133.0,0.0,0.0,588,117.6
Idaho,05th / Idaho,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28.0
O'Farrell,06th / O'Farrell,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62,62.0
Union,06th / Union,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,137,137.0
Brumback,07th / Brumback,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24,24.0
Bannock,08th / Bannock,267.0,115.0,148.0,178.0,149.0,165.0,234.0,306.0,0.0,0.0,1562,195.25
Brumback,08th / Brumback,0.0,0.0,0.0,0.0,0.0,28.0,0.0,30.0,0.0,0.0,58,29.0
Fort,08th / Fort,132.0,0.0,0.0,0.0,143.0,122.0,109.0,153.0,0.0,0.0,891,127.28571428571429
Franklin,08th / Franklin,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,61.0
Front,08th / Front,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,167,167.0
Greenbelt,08th / Greenbelt,270.0,346.0,0.0,315.0,200.0,250.0,178.0,281.0,0.0,0.0,1840,262.85714285714283
Main,08th / Main,0.0,0.0,0.0,343.0,0.0,0.0,276.0,0.0,0.0,0.0,619,309.5
River,08th / River,252.0,249.0,115.0,146.0,123.0,295.0,177.0,302.0,0.0,0.0,1659,207.375
Fort,09th / Fort,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107,107.0
Bannock,10th / Bannock,175.0,0.0,185.0,0.0,0.0,0.0,102.0,192.0,0.0,0.0,897,149.5
Franklin,10th / Franklin,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,144.0
Grove,10th / Grove,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,49,49.0
